Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
Aminomethyl,CH2NH2 (g),,158.91,149.07,¡À 0.44,kJ/mol,30.04920 ¡À,,30.04920 ¡À,0.00085
,,,,,,,0.00085,,,
Peroxyformic acid,"HC(O)OOH (g, cis)",,-279.35,-288.69,¡À 0.90,kJ/mol,62.0248 ¡À,,62.0248 ¡À,0.0012
,,,,,,,0.0012,,,
Cyclopropane,CH2(CH2CH2) (g),,70.98,53.85,¡À 0.41,kJ/mol,42.0797 ¡À,,42.0797 ¡À,0.0024
,,,,,,,0.0024,,,
Propadienylidene,CH2CC (g),,554.41,555.55,¡À 0.41,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
Ethoxy,"CH3CH2O (g, X 2A"")",,1.48,-12.42,¡À 0.48,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Acetyl,CH3CO (g),,-3.34,-10,¡À 0.35,kJ/mol,43.0446 ¡À,,43.0446 ¡À,0.0016
,,,,,,,0.0016,,,
Cyanooxidanyl,NCO (g),,127.02,127.49,¡À 0.35,kJ/mol,42.01684 ¡À,,42.01684 ¡À,0.00086
,,,,,,,0.00086,,,
Phenolate,[C6H5O]- (g),,-146.35,-161.82,¡À 0.88,kJ/mol,93.1038 ¡À,,93.1038 ¡À,0.0048
,,,,,,,0.0048,,,
Dimethylamine,(CH3)2NH (g),,3.54,-18.1,¡À 0.48,kJ/mol,45.0837 ¡À,,45.0837 ¡À,0.0017
,,,,,,,0.0017,,,
Bromoform,CHBr3 (g),,74.7,48.5,¡À 1.3,kJ/mol,252.7306 ¡À,,252.7306 ¡À,0.0031
,,,,,,,0.0031,,,
Cyclopentadienyl,CH(CHCHCHCH) (g),,274.42,261.31,¡À 0.93,kJ/mol,65.0932 ¡À,,65.0932 ¡À,0.004
,,,,,,,0.004,,,
Bromooxidanyl,BrO (g),,131.14,123.6,¡À 0.28,kJ/mol,95.9034 ¡À,,95.9034 ¡À,0.001
,,,,,,,0.001,,,
Fluorodioxidanyl,FOO (g),,26.8,25.09,¡À 0.26,kJ/mol,50.99720 ¡À,,50.99720 ¡À,0.0006
,,,,,,,0.0006,,,
Hypobromite,[BrO]- (g),,-96.15,-103.63,¡À 0.53,kJ/mol,95.9039 ¡À,,95.9039 ¡À,0.001
,,,,,,,0.001,,,
Peroxynitrous acid,"HOONO (g, cis, cis)",,-5.81,-14.25,¡À 0.36,kJ/mol,63.01288 ¡À,,63.01288 ¡À,0.00091
,,,,,,,0.00091,,,
Cyanide,[CN]- (g),,63.956,67.242,¡À 0.094,kJ/mol,26.01799 ¡À,,26.01799 ¡À,0.0008
,,,,,,,0.0008,,,
Isobutene,CH2C(CH3)2 (g),,4.01,-17.05,¡À 0.42,kJ/mol,56.1063 ¡À,,56.1063 ¡À,0.0032
,,,,,,,0.0032,,,
1-Butene,CH2CHCH2CH3 (g),,21,0.05,¡À 0.38,kJ/mol,56.1063 ¡À,,56.1063 ¡À,0.0032
,,,,,,,0.0032,,,
n-Pentane,CH3CH2CH2CH2CH3 (g),,-114.41,-146.28,¡À 0.31,kJ/mol,72.1488 ¡À,,72.1488 ¡À,0.0041
,,,,,,,0.0041,,,
Dichloromethylene,"CCl2 (g, singlet)",,229.49,230.67,¡À 0.64,kJ/mol,82.9161 ¡À,,82.9161 ¡À,0.002
,,,,,,,0.002,,,
Hydrogen fluoride,HF (aq),,,-334.49,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Vinyl fluoride,CH2CHF (g),,-134.54,-142.35,¡À 0.46,kJ/mol,46.0436 ¡À,,46.0436 ¡À,0.0016
,,,,,,,0.0016,,,
Chlorobenzene,C6H5Cl (g),,67.14,52.18,¡À 0.61,kJ/mol,112.5566 ¡À,,112.5566 ¡À,0.0049
,,,,,,,0.0049,,,
Difluorodioxidane,FOOF (g),,35.27,31.54,¡À 0.41,kJ/mol,69.99561 ¡À,,69.99561 ¡À,0.0006
,,,,,,,0.0006,,,
Water,H2O (l),,,-285.83,¡À 0.027,kJ/mol,18.01528 ¡À,,18.01528 ¡À,0.00033
,,,,,,,0.00033,,,
Nitrous oxide,NNO (g),,85.997,82.567,¡À 0.097,kJ/mol,44.01288 ¡À,,44.01288 ¡À,0.00033
,,,,,,,0.00033,,,
(E)-Diazene,"HNNH (g, trans)",,207.1,199.95,¡À 0.44,kJ/mol,30.02936 ¡À,,30.02936 ¡À,0.0002
,,,,,,,0.0002,,,
Hydroxyoxomethylium,[HOCO]+ (g),,600.65,597.57,¡À 0.44,kJ/mol,45.0169 ¡À,,45.0169 ¡À,0.001
,,,,,,,0.001,,,
Ethylidene,"CH3CH (g, triplet)",,361.35,354.35,¡À 0.76,kJ/mol,28.0532 ¡À,,28.0532 ¡À,0.0016
,,,,,,,0.0016,,,
Vinylium,[CH2CH]+ (g),,1118.94,1115.5,¡À 0.57,kJ/mol,27.0447 ¡À,,27.0447 ¡À,0.0016
,,,,,,,0.0016,,,
Hydroxymethylium,[CH2OH]+ (g),,717.7,709.76,¡À 0.18,kJ/mol,31.03337 ¡À,,31.03337 ¡À,0.00088
,,,,,,,0.00088,,,
Cyanogen,NCCN (g),,308.31,310.25,¡À 0.43,kJ/mol,52.0349 ¡À,,52.0349 ¡À,0.0016
,,,,,,,0.0016,,,
Peroxyformyl,"HC(O)OO (g, syn)",,-100.46,-105.76,¡À 0.93,kJ/mol,61.0168 ¡À,,61.0168 ¡À,0.0012
,,,,,,,0.0012,,,
Dioxidanide,[HO2]- (g),,-88.87,-91.53,¡À 0.34,kJ/mol,33.00729 ¡À,,33.00729 ¡À,0.0006
,,,,,,,0.0006,,,
Cyclopropene,CH2(CHCH) (g),,292.33,283.6,¡À 0.53,kJ/mol,40.0639 ¡À,,40.0639 ¡À,0.0024
,,,,,,,0.0024,,,
n-Hexane,CH3CH2CH2CH2CH2CH3 (g),,-130.05,-166.92,¡À 0.34,kJ/mol,86.1754 ¡À,,86.1754 ¡À,0.0049
,,,,,,,0.0049,,,
Trioxidane,"HOOOH (g, trans)",,-82.04,-90.88,¡À 0.70,kJ/mol,50.01408 ¡À,,50.01408 ¡À,0.00091
,,,,,,,0.00091,,,
Formic acid,HC(O)OH (g),,-371.1,-378.4,¡À 0.22,kJ/mol,46.0254 ¡À,,46.0254 ¡À,0.001
,,,,,,,0.001,,,
Methyl formate,"HC(O)OCH3 (g, anti)",,-326.7,-339.2,¡À 1.2,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Trichloromethyl,CCl3 (g),,71.95,71.48,¡À 0.84,kJ/mol,118.3688 ¡À,,118.3688 ¡À,0.0028
,,,,,,,0.0028,,,
"1,1-Dichloroethane",CH3CHCl2 (g),,-120.33,-133.11,¡À 0.44,kJ/mol,98.9586 ¡À,,98.9586 ¡À,0.0024
,,,,,,,0.0024,,,
Bromobenzene,C6H5Br (g),,126.6,104.6,¡À 1.3,kJ/mol,157.0079 ¡À,,157.0079 ¡À,0.0049
,,,,,,,0.0049,,,
Benzaldehyde,C6H5C(O)H (g),,-19.4,-37.19,¡À 0.92,kJ/mol,106.1219 ¡À,,106.1219 ¡À,0.0056
,,,,,,,0.0056,,,
Chlorous acid,HOClO (g),,25.73,20.68,¡À 0.63,kJ/mol,68.4594 ¡À,,68.4594 ¡À,0.0011
,,,,,,,0.0011,,,
Iodooxidanyl,IO (g),,126.97,125.04,¡À 0.82,kJ/mol,142.90387 ¡À,,142.90387 ¡À,0.0003
,,,,,,,0.0003,,,
Carbon monoxide cation,[CO]+ (g),,1238.306,1241.586,¡À 0.026,kJ/mol,28.00955 ¡À,,28.00955 ¡À,0.00085
,,,,,,,0.00085,,,
Ammonium,[NH4]+ (g),,643.03,631.72,¡À 0.21,kJ/mol,18.03795 ¡À,,18.03795 ¡À,0.00029
,,,,,,,0.00029,,,
Azanide,[NH2]- (g),,114.78,111.91,¡À 0.30,kJ/mol,16.02317 ¡À,,16.02317 ¡À,0.00016
,,,,,,,0.00016,,,
Aminooxy,NH2O (g),,70.93,64.33,¡À 0.76,kJ/mol,32.02202 ¡À,,32.02202 ¡À,0.00034
,,,,,,,0.00034,,,
Hydroxyamidogen,"HNOH (g, trans)",,101.5,94.7,¡À 1.1,kJ/mol,32.02202 ¡À,,32.02202 ¡À,0.00034
,,,,,,,0.00034,,,
Nitrate,[ON(O)O]- (g),,-300.17,-306.64,¡À 0.60,kJ/mol,62.00549 ¡À,,62.00549 ¡À,0.0009
,,,,,,,0.0009,,,
Hypofluorite,[FO]- (g),,-108.85,-108.68,¡À 0.48,kJ/mol,34.99835 ¡À,,34.99835 ¡À,0.0003
,,,,,,,0.0003,,,
Cyanogen iodide,ICN (g),,222.7,222.2,¡À 1.6,kJ/mol,152.92191 ¡À,,152.92191 ¡À,0.0008
,,,,,,,0.0008,,,
Formyl anion,[HCO]- (g),,11.6,11.98,¡À 0.44,kJ/mol,29.01859 ¡À,,29.01859 ¡À,0.00086
,,,,,,,0.00086,,,
2-Propynylidyne,CCCH (g),,717.99,722.34,¡À 0.82,kJ/mol,37.0400 ¡À,,37.0400 ¡À,0.0024
,,,,,,,0.0024,,,
Cyclopentane,CH2(CH2CH2CH2CH2) (g),,-43.97,-76.53,¡À 0.41,kJ/mol,70.1329 ¡À,,70.1329 ¡À,0.0041
,,,,,,,0.0041,,,
Ethoxy,"CH3CH2O (g, A 2A')",,5.74,-8.69,¡À 0.48,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Chloromethylene,"CHCl (g, singlet)",,320.26,320.55,¡À 0.89,kJ/mol,48.4713 ¡À,,48.4713 ¡À,0.0012
,,,,,,,0.0012,,,
Dibromomethane,CH2Br2 (g),,25.2,3.8,¡À 1.1,kJ/mol,173.8346 ¡À,,173.8346 ¡À,0.0022
,,,,,,,0.0022,,,
Trifluoromethylium,[CF3]+ (g),,409.29,406.08,¡À 0.48,kJ/mol,69.00536 ¡À,,69.00536 ¡À,0.0008
,,,,,,,0.0008,,,
Phenide,[C6H5]- (g),,244.37,230.95,¡À 0.39,kJ/mol,77.1044 ¡À,,77.1044 ¡À,0.0048
,,,,,,,0.0048,,,
3-Buten-2-one,"CH3C(O)CHCH2 (g, trans)",,-95.65,-111.9,¡À 0.88,kJ/mol,70.0898 ¡À,,70.0898 ¡À,0.0032
,,,,,,,0.0032,,,
Chloronium,[HClH]+ (g),,881.3,878.2,¡À 1.1,kJ/mol,37.46803 ¡À,,37.46803 ¡À,0.00091
,,,,,,,0.00091,,,
Chlorine trifluoride,FCl(F)F (g),,-158.6,-162.7,¡À 1.2,kJ/mol,92.44791 ¡À,,92.44791 ¡À,0.0009
,,,,,,,0.0009,,,
Iodine monochloride,ICl (g),,19.024,17.391,¡À 0.013,kJ/mol,162.35717 ¡À,,162.35717 ¡À,0.0009
,,,,,,,0.0009,,,
Iodotrifluoromethane,CF3I (g),,-583.71,-589.59,¡À 0.51,kJ/mol,195.91038 ¡À,,195.91038 ¡À,0.0008
,,,,,,,0.0008,,,
Nitrogen atom cation,N+ (g),,1872.907,1875.689,¡À 0.024,kJ/mol,14.006191 ¡À,,14.006191 ¡À,0.00007
,,,,,,,0.00007,,,
Azido radical,NNN (g),,452.22,449.63,¡À 0.60,kJ/mol,42.02022 ¡À,,42.02022 ¡À,0.00021
,,,,,,,0.00021,,,
Trinitrogen cation,[NNN]+ (g),,1519.39,1516.76,¡À 0.89,kJ/mol,42.01967 ¡À,,42.01967 ¡À,0.00021
,,,,,,,0.00021,,,
Oxonitrate anion,[NO]- (g),,88.09,88.13,¡À 0.25,kJ/mol,30.00669 ¡À,,30.00669 ¡À,0.00031
,,,,,,,0.00031,,,
Nitrosyl ion,[NO]+ (g),,984.487,984.482,¡À 0.065,kJ/mol,30.00559 ¡À,,30.00559 ¡À,0.00031
,,,,,,,0.00031,,,
Nitrogen sesquioxide,ONN(O)O (g),,90.72,86.15,¡À 0.15,kJ/mol,76.01168 ¡À,,76.01168 ¡À,0.00091
,,,,,,,0.00091,,,
Hydrazoic acid,HNNN (g),,297.86,291.56,¡À 0.49,kJ/mol,43.02816 ¡À,,43.02816 ¡À,0.00022
,,,,,,,0.00022,,,
Methylene anion,[CH2]- (g),,328.17,328.6,¡À 0.19,kJ/mol,14.02713 ¡À,,14.02713 ¡À,0.00081
,,,,,,,0.00081,,,
Ethanium,"[C2H7]+ (g, bridged C2)",,874.34,858.07,¡À 0.62,kJ/mol,31.0764 ¡À,,31.0764 ¡À,0.0017
,,,,,,,0.0017,,,
Acetylium,[CH3CO]+ (g),,666.41,659.13,¡À 0.46,kJ/mol,43.0441 ¡À,,43.0441 ¡À,0.0016
,,,,,,,0.0016,,,
Hydroxymethylene,"HCOH (g, trans)",,112.67,108.9,¡À 0.28,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Carbonic acid,"C(O)(OH)2 (g, cis-cis)",,-602.76,-612.93,¡À 0.75,kJ/mol,62.0248 ¡À,,62.0248 ¡À,0.0012
,,,,,,,0.0012,,,
Peroxyformate,"[HC(O)OO]- (g, syn)",,-341,-346.45,¡À 0.96,kJ/mol,61.0174 ¡À,,61.0174 ¡À,0.0012
,,,,,,,0.0012,,,
Isoprene,CH2C(CH3)CHCH2 (g),,96.09,75.57,¡À 0.67,kJ/mol,68.1170 ¡À,,68.1170 ¡À,0.004
,,,,,,,0.004,,,
Hydrogen bromide,HBr (aq),,,-120.96,¡À 0.15,kJ/mol,80.9119 ¡À,,80.9119 ¡À,0.001
,,,,,,,0.001,,,
1-Hydroxyethylium,"[CH3CHOH]+ (g, anti)",,608.78,594.35,¡À 0.40,kJ/mol,45.0600 ¡À,,45.0600 ¡À,0.0017
,,,,,,,0.0017,,,
Dicarbon monoxide,"CCO (g, triplet)",,377.29,381.33,¡À 0.98,kJ/mol,40.0208 ¡À,,40.0208 ¡À,0.0016
,,,,,,,0.0016,,,
Formyloxidanyl,"HC(O)O (g, 2A1)",,-125.82,-127.48,¡À 0.56,kJ/mol,45.0174 ¡À,,45.0174 ¡À,0.001
,,,,,,,0.001,,,
Trimethylamine,(CH3)3N (g),,1.16,-27.7,¡À 0.92,kJ/mol,59.1103 ¡À,,59.1103 ¡À,0.0025
,,,,,,,0.0025,,,
"1,1,1-Trichloroethane",CH3CCl3 (g),,-134.34,-144.92,¡À 0.48,kJ/mol,133.4033 ¡À,,133.4033 ¡À,0.0031
,,,,,,,0.0031,,,
Tetrachloroethene,CCl2CCl2 (g),,-22.4,-23.3,¡À 1.1,kJ/mol,165.8322 ¡À,,165.8322 ¡À,0.0039
,,,,,,,0.0039,,,
Chlorodifluoromethane,CHClF2 (g),,-476.4,-482.5,¡À 1.2,kJ/mol,86.4681 ¡À,,86.4681 ¡À,0.0012
,,,,,,,0.0012,,,
Fluoromethylene,"CHF (g, singlet)",,148.38,148.66,¡À 0.43,kJ/mol,32.01704 ¡À,,32.01704 ¡À,0.0008
,,,,,,,0.0008,,,
Fluoroformyl,FCO (g),,-176.63,-176.05,¡À 0.37,kJ/mol,47.00850 ¡À,,47.00850 ¡À,0.00085
,,,,,,,0.00085,,,
2-Bromoethanol,BrCH2CH2OH (g),,-196.48,-220.55,¡À 0.55,kJ/mol,124.9645 ¡À,,124.9645 ¡À,0.0019
,,,,,,,0.0019,,,
Propionaldehyde,CH3CH2CHO (g),,-171.39,-186.79,¡À 0.25,kJ/mol,58.0791 ¡À,,58.0791 ¡À,0.0025
,,,,,,,0.0025,,,
Bromonium,[HBrH]+ (g),,925,914.2,¡À 1.5,kJ/mol,81.9193 ¡À,,81.9193 ¡À,0.001
,,,,,,,0.001,,,
Hydrazine,NH2NH2 (g),,111.57,97.41,¡À 0.49,kJ/mol,32.04524 ¡À,,32.04524 ¡À,0.00031
,,,,,,,0.00031,,,
Trioxidanide,"[HOOO]- (g, gauche)",,-120,-123.1,¡À 1.6,kJ/mol,49.00669 ¡À,,49.00669 ¡À,0.0009
,,,,,,,0.0009,,,
Hydrogen chloride,HCl (aq),,,-166.991,¡À 0.023,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Methanide,[CH3]- (g),,141.08,137.64,¡À 0.25,kJ/mol,15.03507 ¡À,,15.03507 ¡À,0.00083
,,,,,,,0.00083,,,
Methyliumyl,[CH2]+ (g),,1393.2,1394.06,¡À 0.11,kJ/mol,14.02603 ¡À,,14.02603 ¡À,0.00081
,,,,,,,0.00081,,,
Ethylidene,"CH3CH (g, singlet)",,373.8,366.57,¡À 0.87,kJ/mol,28.0532 ¡À,,28.0532 ¡À,0.0016
,,,,,,,0.0016,,,
Vinyl anion,[CH2CH]- (g),,236.91,232.49,¡À 0.86,kJ/mol,27.0458 ¡À,,27.0458 ¡À,0.0016
,,,,,,,0.0016,,,
Ethylidyne,"CH3C (g, quartet)",,640.7,636.1,¡À 1.1,kJ/mol,27.0452 ¡À,,27.0452 ¡À,0.0016
,,,,,,,0.0016,,,
Aminomethylium,[CH2NH2]+ (g),,763.54,751.57,¡À 0.66,kJ/mol,30.04865 ¡À,,30.04865 ¡À,0.00085
,,,,,,,0.00085,,,
2-Butyne,CH3CCCH3 (g),,159.35,146.38,¡À 0.58,kJ/mol,54.0904 ¡À,,54.0904 ¡À,0.0032
,,,,,,,0.0032,,,
1-Methylethenyl,CH3CCH2 (g),,262.98,252.58,¡À 0.77,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
trans-2-Butene,"CH3CHCHCH3 (g, trans)",,9.38,-11.18,¡À 0.41,kJ/mol,56.1063 ¡À,,56.1063 ¡À,0.0032
,,,,,,,0.0032,,,
iso-Pentane,CH3CH2CH(CH3)2 (g),,-119.17,-153.22,¡À 0.43,kJ/mol,72.1488 ¡À,,72.1488 ¡À,0.0041
,,,,,,,0.0041,,,
1-Hydroxyethyl,"CH3CHOH (g, gauche-syn)",,-40.73,-54.2,¡À 0.93,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Protonated oxirane,[(CH2CH2)OH]+ (g),,725.29,709.12,¡À 0.66,kJ/mol,45.0600 ¡À,,45.0600 ¡À,0.0017
,,,,,,,0.0017,,,
Ketenyl,HCCO (g),,177.13,178.23,¡À 0.59,kJ/mol,41.0287 ¡À,,41.0287 ¡À,0.0016
,,,,,,,0.0016,,,
Methanediol,"CH2(OH)2 (g, conrot gauche)",,-379.38,-393.58,¡À 0.93,kJ/mol,48.0413 ¡À,,48.0413 ¡À,0.001
,,,,,,,0.001,,,
Methoxyethane,CH3CH2OCH3 (g),,-194.08,-216.97,¡À 0.48,kJ/mol,60.0950 ¡À,,60.0950 ¡À,0.0025
,,,,,,,0.0025,,,
Acetic acid,"CH3C(O)OH (g, anti)",,-397.89,-411.66,¡À 0.84,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Acetyl chloride,CH3C(O)Cl (g),,-232.61,-241.6,¡À 0.33,kJ/mol,78.4973 ¡À,,78.4973 ¡À,0.0019
,,,,,,,0.0019,,,
Chlorohydroxymethyl,"CH(Cl)OH (g, syn-gauche)",,-54.9,-60.9,¡À 1.1,kJ/mol,65.4787 ¡À,,65.4787 ¡À,0.0012
,,,,,,,0.0012,,,
"1,1-Dichloroethene",CH2CCl2 (g),,8.92,2.93,¡À 0.49,kJ/mol,96.9427 ¡À,,96.9427 ¡À,0.0024
,,,,,,,0.0024,,,
Dichlorodifluoromethane,CF2Cl2 (g),,-490.38,-495.15,¡À 0.97,kJ/mol,120.9129 ¡À,,120.9129 ¡À,0.002
,,,,,,,0.002,,,
Fluorodichloromethane,CHFCl2 (g),,-278.7,-284,¡À 1.3,kJ/mol,102.9224 ¡À,,102.9224 ¡À,0.002
,,,,,,,0.002,,,
Difluoromethylene,"CF2 (g, singlet)",,-193.93,-193.46,¡À 0.38,kJ/mol,50.00751 ¡À,,50.00751 ¡À,0.0008
,,,,,,,0.0008,,,
Fluoromethylene,"CHF (g, triplet)",,210.35,210.69,¡À 0.66,kJ/mol,32.01704 ¡À,,32.01704 ¡À,0.0008
,,,,,,,0.0008,,,
Hydrogen peroxide cation,"[H2O2]+ (g, trans)",,897.75,890.77,¡À 0.37,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
Formyl fluoride,CHFO (g),,-378.65,-382.24,¡À 0.31,kJ/mol,48.01644 ¡À,,48.01644 ¡À,0.00086
,,,,,,,0.00086,,,
Benzyl,C6H5CH2 (g),,229.92,211.1,¡À 0.60,kJ/mol,91.1305 ¡À,,91.1305 ¡À,0.0056
,,,,,,,0.0056,,,
Methyl nitrite,"CH3ONO (g, cis)",,-55.62,-67.4,¡À 0.45,kJ/mol,61.0401 ¡À,,61.0401 ¡À,0.001
,,,,,,,0.001,,,
Chloro hypochlorite,ClOCl (g),,79.78,77.97,¡À 0.36,kJ/mol,86.9048 ¡À,,86.9048 ¡À,0.0018
,,,,,,,0.0018,,,
Chlorooxy hypochlorite,ClOOCl (g),,134.56,131.32,¡À 0.56,kJ/mol,102.9042 ¡À,,102.9042 ¡À,0.0019
,,,,,,,0.0019,,,
Peroxyhypochlorous acid,HOOCl (g),,3.94,-1.33,¡À 0.95,kJ/mol,68.4594 ¡À,,68.4594 ¡À,0.0011
,,,,,,,0.0011,,,
Chlorine atom cation,Cl+ (g),,1370.806,1372.602,¡À 0.0011,kJ/mol,35.45215 ¡À,,35.45215 ¡À,0.0009
,,,,,,,0.0009,,,
Hypoiodite,[IO]- (g),,-102.48,-104.29,¡À 0.88,kJ/mol,142.90442 ¡À,,142.90442 ¡À,0.0003
,,,,,,,0.0003,,,
Dinitrogen cation,[N2]+ (g),,1503.311,1503.312,¡À 0.000,kJ/mol,28.01293 ¡À,,28.01293 ¡À,0.00014
,,,,,,,0.00014,,,
Carbon dioxide cation,[CO2]+ (g),,936.092,936.927,¡À 0.017,kJ/mol,44.00895 ¡À,,44.00895 ¡À,0.001
,,,,,,,0.001,,,
Ammonium,[NH4]+ (aq),,,-133.075,¡À 0.056,kJ/mol,18.03795 ¡À,,18.03795 ¡À,0.00029
,,,,,,,0.00029,,,
Hydrazino,NH2NH (g),,234.81,224.29,¡À 0.78,kJ/mol,31.03730 ¡À,,31.03730 ¡À,0.00025
,,,,,,,0.00025,,,
Methylidyne anion,[CH]- (g),,475.75,479.07,¡À 0.22,kJ/mol,13.01919 ¡À,,13.01919 ¡À,0.0008
,,,,,,,0.0008,,,
Dichloride,[Cl2]- (g),,-229.8,-228.7,¡À 1.4,kJ/mol,70.9059 ¡À,,70.9059 ¡À,0.0018
,,,,,,,0.0018,,,
Methylamidogen,CH3NH (g),,187.2,176.55,¡À 0.49,kJ/mol,30.04920 ¡À,,30.04920 ¡À,0.00085
,,,,,,,0.00085,,,
Hydrogen isocyanide cation,[HNC]+ (g),,1352.9,1352.9,¡À 1.3,kJ/mol,27.02483 ¡À,,27.02483 ¡À,0.00081
,,,,,,,0.00081,,,
Chlorine pentafluoride,FCl(F)(F)(F)F (g),,-226.1,-234.2,¡À 1.7,kJ/mol,130.44472 ¡À,,130.44472 ¡À,0.0009
,,,,,,,0.0009,,,
iso-Propylium,[CH3CHCH3]+ (g),,822.91,805.83,¡À 0.25,kJ/mol,43.0871 ¡À,,43.0871 ¡À,0.0024
,,,,,,,0.0024,,,
n-Propylide,[CH3CH2CH2]- (g),,122.9,105.2,¡À 1.2,kJ/mol,43.0882 ¡À,,43.0882 ¡À,0.0024
,,,,,,,0.0024,,,
"1,2-Propadienyl anion",[CH2CCH]- (g),,265.67,262.61,¡À 0.71,kJ/mol,39.0565 ¡À,,39.0565 ¡À,0.0024
,,,,,,,0.0024,,,
Propargylenide,"[HCCCH]- (g, transoid 2B)",,434.4,436.9,¡À 1.1,kJ/mol,38.0485 ¡À,,38.0485 ¡À,0.0024
,,,,,,,0.0024,,,
t-Butyl,(CH3)3C (g),,75.6,50.3,¡À 0.66,kJ/mol,57.1143 ¡À,,57.1143 ¡À,0.0033
,,,,,,,0.0033,,,
neo-Pentane,C(CH3)4 (g),,-134.63,-167.51,¡À 0.40,kJ/mol,72.1488 ¡À,,72.1488 ¡À,0.0041
,,,,,,,0.0041,,,
2-Hydroxyethyl,"CH2CH2OH (g, gauche-anti)",,-10.23,-22.86,¡À 0.91,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Ketene,"CH2CO (g, triplet)",,182.3,177.3,¡À 1.2,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Methanediol,"CH2(OH)2 (g, disrot gauche)",,-369.08,-382.23,¡À 0.96,kJ/mol,48.0413 ¡À,,48.0413 ¡À,0.001
,,,,,,,0.001,,,
Methoxyethene,"CH2CHOCH3 (g, cis)",,-88.9,-106.8,¡À 1.1,kJ/mol,58.0791 ¡À,,58.0791 ¡À,0.0025
,,,,,,,0.0025,,,
Methyl acetate,"CH3C(O)OCH3 (g, anti)",,-363.4,-382.2,¡À 1.2,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
(Methylamino)methyl,CH3NHCH2 (g),,167.57,151.12,¡À 0.97,kJ/mol,44.0758 ¡À,,44.0758 ¡À,0.0017
,,,,,,,0.0017,,,
Dimethylamidogen,(CH3)2N (g),,173.7,156.4,¡À 1.5,kJ/mol,44.0758 ¡À,,44.0758 ¡À,0.0017
,,,,,,,0.0017,,,
Cyanoamidogen,HNCN (g),,323.9,321.4,¡À 1.4,kJ/mol,41.03212 ¡À,,41.03212 ¡À,0.00082
,,,,,,,0.00082,,,
Bromotrichloromethane,CCl3Br (g),,-32.71,-41.86,¡À 0.60,kJ/mol,198.2728 ¡À,,198.2728 ¡À,0.003
,,,,,,,0.003,,,
Hydroperoxonium,"[H2OOH]+ (g, trans)",,738.1,727.8,¡À 1.2,kJ/mol,35.02207 ¡À,,35.02207 ¡À,0.00064
,,,,,,,0.00064,,,
Chloromethylidyne,CCl (g),,430.42,434.17,¡À 0.67,kJ/mol,47.4634 ¡À,,47.4634 ¡À,0.0012
,,,,,,,0.0012,,,
Chloromethanol,CH2(Cl)OH (g),,-232.3,-242.6,¡À 1.2,kJ/mol,66.4866 ¡À,,66.4866 ¡À,0.0013
,,,,,,,0.0013,,,
Chloromethoxy,CH2(Cl)O (g),,-12,-18.9,¡À 1.1,kJ/mol,65.4787 ¡À,,65.4787 ¡À,0.0012
,,,,,,,0.0012,,,
Tetraiodomethane,CI4 (g),,332,326.9,¡À 4.1,kJ/mol,519.62858 ¡À,,519.62858 ¡À,0.00081
,,,,,,,0.00081,,,
2-Chloroethanol,ClCH2CH2OH (g),,-249.86,-266.57,¡À 0.59,kJ/mol,80.5132 ¡À,,80.5132 ¡À,0.0019
,,,,,,,0.0019,,,
Carbon suboxide,OCCCO (g),,-94.9,-92.8,¡À 1.2,kJ/mol,68.0309 ¡À,,68.0309 ¡À,0.0025
,,,,,,,0.0025,,,
o-Benzyne,"C6H4 (g, singlet)",,468.03,459.11,¡À 0.88,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
Tropyl,CH(CHCHCHCHCHCH) (g),,295.6,278.2,¡À 1.1,kJ/mol,91.1305 ¡À,,91.1305 ¡À,0.0056
,,,,,,,0.0056,,,
Acetonyl,CH3C(O)CH2 (g),,-19.12,-31.83,¡À 0.98,kJ/mol,57.0712 ¡À,,57.0712 ¡À,0.0024
,,,,,,,0.0024,,,
